,ruido,frec_obs,periodo,n_seg,n_meses,ok
1489,0.7000000000000001,28,30,20,6,False
1490,0.7000000000000001,28,30,20,9,False
1491,0.7000000000000001,28,30,20,12,False
1492,0.7000000000000001,28,60,20,3,False
1493,0.7000000000000001,28,60,20,6,False
1494,0.7000000000000001,28,60,20,9,False
1495,0.7000000000000001,28,60,20,12,False
1496,0.7000000000000001,28,90,20,3,False
1497,0.7000000000000001,28,90,20,6,False
1498,0.7000000000000001,28,90,20,9,False
1499,0.7000000000000001,28,90,20,12,False
1500,0.7000000000000001,28,120,20,3,False
1501,0.7000000000000001,28,120,20,6,False
1502,0.7000000000000001,28,120,20,9,False
1503,0.7000000000000001,28,120,20,12,False
1504,0.7000000000000001,28,150,20,3,False
1505,0.7000000000000001,28,150,20,6,False
1506,0.7000000000000001,28,150,20,9,True
1507,0.7000000000000001,28,150,20,12,True
1508,0.7000000000000001,28,180,20,3,False
1509,0.7000000000000001,28,180,20,6,False
1510,0.7000000000000001,28,180,20,9,False
1511,0.7000000000000001,28,180,20,12,True
1512,0.7000000000000001,28,210,20,3,False
1513,0.7000000000000001,28,210,20,6,True
1514,0.7000000000000001,28,210,20,9,False
1515,0.7000000000000001,28,210,20,12,True
1516,0.7000000000000001,28,240,20,3,True
1517,0.7000000000000001,28,240,20,6,True
1518,0.7000000000000001,28,240,20,9,True
1519,0.7000000000000001,28,240,20,12,False
1520,0.7000000000000001,28,270,20,3,False
1521,0.7000000000000001,28,270,20,6,False
1522,0.7000000000000001,28,270,20,9,True
1523,0.7000000000000001,28,270,20,12,True
1524,0.7000000000000001,28,300,20,3,False
1525,0.7000000000000001,28,300,20,6,True
1526,0.7000000000000001,28,300,20,9,True
1527,0.7000000000000001,28,300,20,12,True
1528,0.7000000000000001,28,330,20,3,False
1529,0.7000000000000001,28,330,20,6,True
1530,0.7000000000000001,28,330,20,9,True
1531,0.7000000000000001,28,330,20,12,True
1532,0.7000000000000001,28,360,20,3,False
1533,0.7000000000000001,28,360,20,6,True
1534,0.7000000000000001,28,360,20,9,True
1535,0.7000000000000001,28,360,20,12,True
1536,0.8,7,30,20,3,False
1537,0.8,7,30,20,6,False
1538,0.8,7,30,20,9,False
1539,0.8,7,30,20,12,False
1540,0.8,7,60,20,3,False
1541,0.8,7,60,20,6,True
1542,0.8,7,60,20,9,True
1543,0.8,7,60,20,12,True
1544,0.8,7,90,20,3,True
1545,0.8,7,90,20,6,True
1546,0.8,7,90,20,9,True
1547,0.8,7,90,20,12,True
1548,0.8,7,120,20,3,False
1549,0.8,7,120,20,6,True
1550,0.8,7,120,20,9,True
1551,0.8,7,120,20,12,True
1552,0.8,7,150,20,3,False
1553,0.8,7,150,20,6,False
1554,0.8,7,150,20,9,True
1555,0.8,7,150,20,12,True
1556,0.8,7,180,20,3,True
1557,0.8,7,180,20,6,True
1558,0.8,7,180,20,9,True
1559,0.8,7,180,20,12,True
1560,0.8,7,210,20,3,True
1561,0.8,7,210,20,6,True
1562,0.8,7,210,20,9,True
1563,0.8,7,210,20,12,True
1564,0.8,7,240,20,3,False
1565,0.8,7,240,20,6,True
1566,0.8,7,240,20,9,True
1567,0.8,7,240,20,12,True
1568,0.8,7,270,20,3,True
1569,0.8,7,270,20,6,True
1570,0.8,7,270,20,9,True
1571,0.8,7,270,20,12,True
1572,0.8,7,300,20,3,True
1573,0.8,7,300,20,6,True
1574,0.8,7,300,20,9,True
1575,0.8,7,300,20,12,True
1576,0.8,7,330,20,3,True
1577,0.8,7,330,20,6,True
1578,0.8,7,330,20,9,True
1579,0.8,7,330,20,12,True
1580,0.8,7,360,20,3,True
1581,0.8,7,360,20,6,True
1582,0.8,7,360,20,9,True
1583,0.8,7,360,20,12,True
1584,0.8,14,30,20,3,False
1585,0.8,14,30,20,6,False
1586,0.8,14,30,20,9,False
1587,0.8,14,30,20,12,False
1588,0.8,14,60,20,3,False
1589,0.8,14,60,20,6,True
1590,0.8,14,60,20,9,False
1591,0.8,14,60,20,12,False
