,ruido,frec_obs,periodo,n_seg,ok
1343,2.3000000000000003,22,271,20,True
1344,2.3000000000000003,22,301,20,True
1345,2.3000000000000003,22,331,20,True
1346,2.3000000000000003,29,31,20,False
1347,2.3000000000000003,29,61,20,False
1348,2.3000000000000003,29,91,20,False
1349,2.3000000000000003,29,121,20,False
1350,2.3000000000000003,29,151,20,False
1351,2.3000000000000003,29,181,20,True
1352,2.3000000000000003,29,211,20,False
1353,2.3000000000000003,29,241,20,False
1354,2.3000000000000003,29,271,20,True
1355,2.3000000000000003,29,301,20,True
1356,2.3000000000000003,29,331,20,True
1357,2.4000000000000004,1,1,20,False
1358,2.4000000000000004,1,31,20,True
1359,2.4000000000000004,1,61,20,True
1360,2.4000000000000004,1,91,20,True
1361,2.4000000000000004,1,121,20,True
1362,2.4000000000000004,1,151,20,True
1363,2.4000000000000004,1,181,20,True
1364,2.4000000000000004,1,211,20,True
1365,2.4000000000000004,1,241,20,True
1366,2.4000000000000004,1,271,20,True
1367,2.4000000000000004,1,301,20,True
1368,2.4000000000000004,1,331,20,True
1369,2.4000000000000004,8,1,20,False
1370,2.4000000000000004,8,31,20,False
1371,2.4000000000000004,8,61,20,False
1372,2.4000000000000004,8,91,20,True
1373,2.4000000000000004,8,121,20,True
1374,2.4000000000000004,8,151,20,True
1375,2.4000000000000004,8,181,20,True
1376,2.4000000000000004,8,211,20,True
1377,2.4000000000000004,8,241,20,True
1378,2.4000000000000004,8,271,20,True
1379,2.4000000000000004,8,301,20,True
1380,2.4000000000000004,8,331,20,True
1381,2.4000000000000004,15,1,20,False
1382,2.4000000000000004,15,31,20,False
1383,2.4000000000000004,15,61,20,False
1384,2.4000000000000004,15,91,20,False
1385,2.4000000000000004,15,121,20,False
1386,2.4000000000000004,15,151,20,True
1387,2.4000000000000004,15,181,20,True
1388,2.4000000000000004,15,211,20,True
1389,2.4000000000000004,15,241,20,True
1390,2.4000000000000004,15,271,20,True
1391,2.4000000000000004,15,301,20,True
1392,2.4000000000000004,15,331,20,True
1393,2.4000000000000004,22,1,20,False
1394,2.4000000000000004,22,31,20,False
1395,2.4000000000000004,22,61,20,False
1396,2.4000000000000004,22,91,20,True
1397,2.4000000000000004,22,121,20,True
1398,2.4000000000000004,22,151,20,True
1399,2.4000000000000004,22,181,20,True
1400,2.4000000000000004,22,211,20,True
1401,2.4000000000000004,22,241,20,True
1402,2.4000000000000004,22,271,20,True
1403,2.4000000000000004,22,301,20,True
1404,2.4000000000000004,22,331,20,True
1405,2.4000000000000004,29,31,20,False
1406,2.4000000000000004,29,61,20,False
1407,2.4000000000000004,29,91,20,False
1408,2.4000000000000004,29,121,20,True
1409,2.4000000000000004,29,151,20,True
1410,2.4000000000000004,29,181,20,True
1411,2.4000000000000004,29,211,20,True
1412,2.4000000000000004,29,241,20,False
1413,2.4000000000000004,29,271,20,True
1414,2.4000000000000004,29,301,20,True
1415,2.4000000000000004,29,331,20,True
1416,2.5000000000000004,1,1,20,False
1417,2.5000000000000004,1,31,20,True
1418,2.5000000000000004,1,61,20,True
1419,2.5000000000000004,1,91,20,True
1420,2.5000000000000004,1,121,20,True
1421,2.5000000000000004,1,151,20,True
1422,2.5000000000000004,1,181,20,True
1423,2.5000000000000004,1,211,20,True
1424,2.5000000000000004,1,241,20,True
1425,2.5000000000000004,1,271,20,True
1426,2.5000000000000004,1,301,20,True
1427,2.5000000000000004,1,331,20,True
1428,2.5000000000000004,8,1,20,False
1429,2.5000000000000004,8,31,20,False
1430,2.5000000000000004,8,61,20,True
1431,2.5000000000000004,8,91,20,True
1432,2.5000000000000004,8,121,20,True
1433,2.5000000000000004,8,151,20,False
1434,2.5000000000000004,8,181,20,True
1435,2.5000000000000004,8,211,20,True
1436,2.5000000000000004,8,241,20,True
1437,2.5000000000000004,8,271,20,True
1438,2.5000000000000004,8,301,20,True
1439,2.5000000000000004,8,331,20,True
1440,2.5000000000000004,15,1,20,False
1441,2.5000000000000004,15,31,20,False
1442,2.5000000000000004,15,61,20,False
1443,2.5000000000000004,15,91,20,True
1444,2.5000000000000004,15,121,20,True
1445,2.5000000000000004,15,151,20,True
1446,2.5000000000000004,15,181,20,True
1447,2.5000000000000004,15,211,20,True
1448,2.5000000000000004,15,241,20,True
1449,2.5000000000000004,15,271,20,True
1450,2.5000000000000004,15,301,20,True
1451,2.5000000000000004,15,331,20,False
1452,2.5000000000000004,22,1,20,False
1453,2.5000000000000004,22,31,20,False
1454,2.5000000000000004,22,61,20,False
1455,2.5000000000000004,22,91,20,True
1456,2.5000000000000004,22,121,20,False
1457,2.5000000000000004,22,151,20,True
1458,2.5000000000000004,22,181,20,True
1459,2.5000000000000004,22,211,20,False
1460,2.5000000000000004,22,241,20,True
1461,2.5000000000000004,22,271,20,False
1462,2.5000000000000004,22,301,20,True
1463,2.5000000000000004,22,331,20,False
1464,2.5000000000000004,29,31,20,False
1465,2.5000000000000004,29,61,20,True
1466,2.5000000000000004,29,91,20,False
1467,2.5000000000000004,29,121,20,True
1468,2.5000000000000004,29,151,20,False
1469,2.5000000000000004,29,181,20,False
1470,2.5000000000000004,29,211,20,False
