,ruido,frec_obs,periodo,n_seg,n_meses,ok
353,0.2,28,150,20,6,True
354,0.2,28,150,20,9,True
355,0.2,28,150,20,12,True
356,0.2,28,180,20,3,False
357,0.2,28,180,20,6,False
358,0.2,28,180,20,9,True
359,0.2,28,180,20,12,True
360,0.2,28,210,20,3,False
361,0.2,28,210,20,6,True
362,0.2,28,210,20,9,False
363,0.2,28,210,20,12,True
364,0.2,28,240,20,3,False
365,0.2,28,240,20,6,False
366,0.2,28,240,20,9,True
367,0.2,28,240,20,12,True
368,0.2,28,270,20,3,True
369,0.2,28,270,20,6,True
370,0.2,28,270,20,9,True
371,0.2,28,270,20,12,True
372,0.2,28,300,20,3,True
373,0.2,28,300,20,6,False
374,0.2,28,300,20,9,True
375,0.2,28,300,20,12,True
376,0.2,28,330,20,3,True
377,0.2,28,330,20,6,True
378,0.2,28,330,20,9,True
379,0.2,28,330,20,12,True
380,0.2,28,360,20,3,True
381,0.2,28,360,20,6,True
382,0.2,28,360,20,9,True
383,0.2,28,360,20,12,True
384,0.4,7,30,20,3,False
385,0.4,7,30,20,6,True
386,0.4,7,30,20,9,True
387,0.4,7,30,20,12,True
388,0.4,7,60,20,3,False
389,0.4,7,60,20,6,True
390,0.4,7,60,20,9,False
391,0.4,7,60,20,12,True
392,0.4,7,90,20,3,True
393,0.4,7,90,20,6,True
394,0.4,7,90,20,9,True
395,0.4,7,90,20,12,True
396,0.4,7,120,20,3,False
397,0.4,7,120,20,6,False
398,0.4,7,120,20,9,False
399,0.4,7,120,20,12,True
400,0.4,7,150,20,3,True
401,0.4,7,150,20,6,True
402,0.4,7,150,20,9,True
403,0.4,7,150,20,12,True
404,0.4,7,180,20,3,False
405,0.4,7,180,20,6,True
406,0.4,7,180,20,9,False
407,0.4,7,180,20,12,True
408,0.4,7,210,20,3,False
409,0.4,7,210,20,6,False
410,0.4,7,210,20,9,True
411,0.4,7,210,20,12,True
412,0.4,7,240,20,3,True
413,0.4,7,240,20,6,False
414,0.4,7,240,20,9,False
415,0.4,7,240,20,12,True
416,0.4,7,270,20,3,False
417,0.4,7,270,20,6,False
418,0.4,7,270,20,9,True
419,0.4,7,270,20,12,True
420,0.4,7,300,20,3,True
421,0.4,7,300,20,6,False
422,0.4,7,300,20,9,False
423,0.4,7,300,20,12,True
424,0.4,7,330,20,3,True
425,0.4,7,330,20,6,False
426,0.4,7,330,20,9,True
427,0.4,7,330,20,12,True
428,0.4,7,360,20,3,False
429,0.4,7,360,20,6,True
430,0.4,7,360,20,9,False
431,0.4,7,360,20,12,True
432,0.4,14,30,20,3,False
433,0.4,14,30,20,6,True
434,0.4,14,30,20,9,False
435,0.4,14,30,20,12,False
436,0.4,14,60,20,3,False
437,0.4,14,60,20,6,False
438,0.4,14,60,20,9,True
439,0.4,14,60,20,12,True
440,0.4,14,90,20,3,False
441,0.4,14,90,20,6,False
442,0.4,14,90,20,9,False
443,0.4,14,90,20,12,True
444,0.4,14,120,20,3,False
445,0.4,14,120,20,6,False
446,0.4,14,120,20,9,True
447,0.4,14,120,20,12,True
448,0.4,14,150,20,3,True
449,0.4,14,150,20,6,True
450,0.4,14,150,20,9,True
451,0.4,14,150,20,12,True
452,0.4,14,180,20,3,False
453,0.4,14,180,20,6,True
454,0.4,14,180,20,9,False
455,0.4,14,180,20,12,True
456,0.4,14,210,20,3,False
457,0.4,14,210,20,6,True
458,0.4,14,210,20,9,False
459,0.4,14,210,20,12,True
460,0.4,14,240,20,3,True
461,0.4,14,240,20,6,True
462,0.4,14,240,20,9,True
463,0.4,14,240,20,12,True
464,0.4,14,270,20,3,False
465,0.4,14,270,20,6,False
466,0.4,14,270,20,9,False
467,0.4,14,270,20,12,False
468,0.4,14,300,20,3,False
469,0.4,14,300,20,6,False
470,0.4,14,300,20,9,True
471,0.4,14,300,20,12,True
472,0.4,14,330,20,3,True
473,0.4,14,330,20,6,True
474,0.4,14,330,20,9,True
475,0.4,14,330,20,12,True
476,0.4,14,360,20,3,True
477,0.4,14,360,20,6,True
478,0.4,14,360,20,9,True
479,0.4,14,360,20,12,True
480,0.4,21,30,20,3,False
481,0.4,21,30,20,6,False
482,0.4,21,30,20,9,False
483,0.4,21,30,20,12,False
484,0.4,21,60,20,3,False
485,0.4,21,60,20,6,False
486,0.4,21,60,20,9,False
487,0.4,21,60,20,12,False
488,0.4,21,90,20,3,True
489,0.4,21,90,20,6,True
490,0.4,21,90,20,9,True
491,0.4,21,90,20,12,True
492,0.4,21,120,20,3,False
493,0.4,21,120,20,6,True
494,0.4,21,120,20,9,True
495,0.4,21,120,20,12,False
496,0.4,21,150,20,3,False
497,0.4,21,150,20,6,True
498,0.4,21,150,20,9,False
499,0.4,21,150,20,12,True
500,0.4,21,180,20,3,True
501,0.4,21,180,20,6,True
502,0.4,21,180,20,9,True
503,0.4,21,180,20,12,True
504,0.4,21,210,20,3,False
505,0.4,21,210,20,6,True
506,0.4,21,210,20,9,True
507,0.4,21,210,20,12,True
508,0.4,21,240,20,3,False
509,0.4,21,240,20,6,True
510,0.4,21,240,20,9,True
511,0.4,21,240,20,12,True
512,0.4,21,270,20,3,True
513,0.4,21,270,20,6,False
514,0.4,21,270,20,9,True
515,0.4,21,270,20,12,True
516,0.4,21,300,20,3,False
517,0.4,21,300,20,6,False
518,0.4,21,300,20,9,True
519,0.4,21,300,20,12,True
520,0.4,21,330,20,3,True
521,0.4,21,330,20,6,False
522,0.4,21,330,20,9,False
523,0.4,21,330,20,12,True
524,0.4,21,360,20,3,False
525,0.4,21,360,20,6,True
526,0.4,21,360,20,9,True
527,0.4,21,360,20,12,True
528,0.4,28,30,20,3,False
529,0.4,28,30,20,6,False
530,0.4,28,30,20,9,False
531,0.4,28,30,20,12,False
532,0.4,28,60,20,3,False
533,0.4,28,60,20,6,False
534,0.4,28,60,20,9,False
535,0.4,28,60,20,12,True
536,0.4,28,90,20,3,False
537,0.4,28,90,20,6,False
538,0.4,28,90,20,9,True
539,0.4,28,90,20,12,False
540,0.4,28,120,20,3,False
541,0.4,28,120,20,6,True
542,0.4,28,120,20,9,False
543,0.4,28,120,20,12,True
544,0.4,28,150,20,3,False
545,0.4,28,150,20,6,True
546,0.4,28,150,20,9,True
547,0.4,28,150,20,12,True
548,0.4,28,180,20,3,False
549,0.4,28,180,20,6,True
550,0.4,28,180,20,9,True
551,0.4,28,180,20,12,True
552,0.4,28,210,20,3,False
553,0.4,28,210,20,6,True
554,0.4,28,210,20,9,True
555,0.4,28,210,20,12,True
556,0.4,28,240,20,3,False
557,0.4,28,240,20,6,True
558,0.4,28,240,20,9,True
559,0.4,28,240,20,12,True
560,0.4,28,270,20,3,True
561,0.4,28,270,20,6,False
562,0.4,28,270,20,9,False
563,0.4,28,270,20,12,True
564,0.4,28,300,20,3,True
565,0.4,28,300,20,6,False
566,0.4,28,300,20,9,True
567,0.4,28,300,20,12,True
568,0.4,28,330,20,3,True
569,0.4,28,330,20,6,False
570,0.4,28,330,20,9,False
571,0.4,28,330,20,12,True
572,0.4,28,360,20,3,True
573,0.4,28,360,20,6,True
574,0.4,28,360,20,9,True
575,0.4,28,360,20,12,True
576,0.6000000000000001,7,30,20,3,False
577,0.6000000000000001,7,30,20,6,True
578,0.6000000000000001,7,30,20,9,True
579,0.6000000000000001,7,30,20,12,True
580,0.6000000000000001,7,60,20,3,False
581,0.6000000000000001,7,60,20,6,True
582,0.6000000000000001,7,60,20,9,False
583,0.6000000000000001,7,60,20,12,True
584,0.6000000000000001,7,90,20,3,True
585,0.6000000000000001,7,90,20,6,False
586,0.6000000000000001,7,90,20,9,True
587,0.6000000000000001,7,90,20,12,True
588,0.6000000000000001,7,120,20,3,False
589,0.6000000000000001,7,120,20,6,False
590,0.6000000000000001,7,120,20,9,False
591,0.6000000000000001,7,120,20,12,True
592,0.6000000000000001,7,150,20,3,False
593,0.6000000000000001,7,150,20,6,True
594,0.6000000000000001,7,150,20,9,True
595,0.6000000000000001,7,150,20,12,True
596,0.6000000000000001,7,180,20,3,True
597,0.6000000000000001,7,180,20,6,False
598,0.6000000000000001,7,180,20,9,False
599,0.6000000000000001,7,180,20,12,True
600,0.6000000000000001,7,210,20,3,True
601,0.6000000000000001,7,210,20,6,True
602,0.6000000000000001,7,210,20,9,True
603,0.6000000000000001,7,210,20,12,True
604,0.6000000000000001,7,240,20,3,False
605,0.6000000000000001,7,240,20,6,False
606,0.6000000000000001,7,240,20,9,True
607,0.6000000000000001,7,240,20,12,True
608,0.6000000000000001,7,270,20,3,False
609,0.6000000000000001,7,270,20,6,True
610,0.6000000000000001,7,270,20,9,True
611,0.6000000000000001,7,270,20,12,True
612,0.6000000000000001,7,300,20,3,True
613,0.6000000000000001,7,300,20,6,True
614,0.6000000000000001,7,300,20,9,False
615,0.6000000000000001,7,300,20,12,True
616,0.6000000000000001,7,330,20,3,False
617,0.6000000000000001,7,330,20,6,True
618,0.6000000000000001,7,330,20,9,True
619,0.6000000000000001,7,330,20,12,True
620,0.6000000000000001,7,360,20,3,True
621,0.6000000000000001,7,360,20,6,True
622,0.6000000000000001,7,360,20,9,True
623,0.6000000000000001,7,360,20,12,True
624,0.6000000000000001,14,30,20,3,False
625,0.6000000000000001,14,30,20,6,True
626,0.6000000000000001,14,30,20,9,True
627,0.6000000000000001,14,30,20,12,True
628,0.6000000000000001,14,60,20,3,False
629,0.6000000000000001,14,60,20,6,False
630,0.6000000000000001,14,60,20,9,True
631,0.6000000000000001,14,60,20,12,True
632,0.6000000000000001,14,90,20,3,False
633,0.6000000000000001,14,90,20,6,False
634,0.6000000000000001,14,90,20,9,False
635,0.6000000000000001,14,90,20,12,True
